id,key,value,type
5172445,oneway,yes,regular
5172447,highway,residential,regular
5172447,maxspeed,30,regular
5172447,name,Rue des Peupliers,regular
5172447,oneway,yes,regular
5172448,highway,residential,regular
5172448,maxspeed,30,regular
5172448,name,Rue Barthélemy-Menn,regular
5172449,cycleway,opposite_lane,regular
5172449,highway,residential,regular
5172449,maxspeed,30,regular
5172449,name,Rue Barthélemy-Menn,regular
5172449,oneway,yes,regular
5172450,highway,residential,regular
5172450,maxspeed,30,regular
5172450,name,Rue Verte,regular
5172803,highway,residential,regular
5172803,maxspeed,50,regular
5172803,name,Avenue de Beau-Séjour,regular
5172803,oneway,yes,regular
5172804,highway,residential,regular
5172804,name,Place Reverdin,regular
5172805,highway,residential,regular
5172805,name,Chemin de l'Escalade,regular
5172806,highway,residential,regular
5172806,maxspeed,30,regular
5172806,name,Rue Alcide-Jentzer,regular
5172807,highway,unclassified,regular
5172807,lanes,2,regular
5172807,psv:backward,1,lanes
5172807,name,Rue Sautter,regular
5172807,oneway,yes,regular
5172807,trolley_wire,yes,regular
5172808,highway,tertiary,regular
5172808,lanes,2,regular
5172808,name,Place Edouard-Claparède,regular
5172808,oneway,yes,regular
5172809,highway,residential,regular
5172809,name,Rue Micheli-du-Crest,regular
5172810,highway,residential,regular
5172810,maxspeed,30,regular
5172810,name,Rue Jean-Violette,regular
5172811,highway,residential,regular
5172811,maxspeed,30,regular
5172811,name,Rue du Pré-Jérôme,regular
5172812,highway,residential,regular
5172812,maxspeed,30,regular
5172812,name,Rue Cingria,regular
5172812,oneway,yes,regular
5172813,highway,service,regular
5172814,highway,residential,regular
5172814,maxspeed,30,regular
5172814,name,Rue John-Grasset,regular
5172814,oneway,yes,regular
5172815,cycleway,opposite,regular
5172815,highway,residential,regular
5172815,name,Rue Leschot,regular
5172815,oneway,yes,regular
5172816,highway,residential,regular
5172816,name,Rue des Sources,regular
5172818,highway,residential,regular
5172818,name,Rue Saint-Ours,regular
5172818,oneway,yes,regular
5172819,highway,residential,regular
5172819,lanes,3,regular
5172819,name,Place de l'Université,regular
5172820,cycleway,opposite,regular
5172820,highway,residential,regular
5172820,name,Rue des Voisins,regular
5172820,oneway,yes,regular
5172822,highway,residential,regular
5172822,name,Rue Jean-Sénebier,regular
5172822,oneway,yes,regular
5172823,highway,residential,regular
5172823,name,Rue Imbert-Galloix,regular
5172825,highway,residential,regular
5172825,name,Rue François-D'Ivernois,regular
5172825,oneway,yes,regular
5172826,highway,residential,regular
5172826,maxspeed,30,regular
5172826,name,Terrasse de Saint-Victor,regular
5172826,oneway,yes,regular
5172827,highway,living_street,regular
5172827,maxspeed,20,regular
5172827,name,Rue Charles-Galland,regular
5172827,oneway,yes,regular
5172828,highway,unclassified,regular
5172828,name,Rue Emilie-Gourd,regular
5172828,official_name,Rue Émilie-Gourd,regular
5172828,oneway,yes,regular
5172829,highway,residential,regular
5172829,maxspeed,30,regular
5172829,name,Rue François-Le-Fort,regular
5172829,oneway,yes,regular
5172832,leisure,park,regular
5172832,name,Promenade de l'Observatoire,regular
5172833,highway,residential,regular
5172833,maxspeed,30,regular
5172833,name,Rue du Mont-de-Sion,regular
5172987,highway,residential,regular
5172987,maxspeed,30,regular
5172987,name,Rue C. Sturm,regular
5172987,oneway,yes,regular
5172988,highway,secondary,regular
5172988,lanes,2,regular
5172988,psv,1,lanes
5172988,name,Rue Ferdinand-Hodler,regular
5172988,note,Named acccording to traffic flow.,regular
5172988,oneway,yes,regular
5172989,highway,residential,regular
5172989,maxspeed,30,regular
5172989,name,Rue François-Bellot,regular
5172996,highway,residential,regular
5172996,maxspeed,30,regular
5172996,name,Boulevard Helvétique,regular
